kernel,in_ch,out_ch,stride,pad,height,width,tc1,tc2,time_ms
3,8,8,1,1,240,320,8,8,0.0624845
3,8,8,1,1,240,320,8,16,0.0617062
3,8,8,1,1,240,320,8,32,0.0647475
3,8,8,1,1,240,320,8,64,0.0821379
3,8,8,1,1,240,320,8,128,0.131698
3,8,8,1,1,240,320,16,1,0.291041
3,8,8,1,1,240,320,16,2,0.14507
3,8,8,1,1,240,320,16,4,0.133687
3,8,8,1,1,240,320,16,8,0.113029
3,8,8,1,1,240,320,16,16,0.0882381
3,8,8,1,1,240,320,16,32,0.0822285
3,8,8,1,1,240,320,16,64,0.121588
3,8,8,1,1,240,320,32,1,0.292301
3,8,8,1,1,240,320,32,2,0.284467
3,8,8,1,1,240,320,32,4,0.285645
3,8,8,1,1,240,320,32,8,0.288543
3,8,8,1,1,240,320,32,16,0.288471
3,8,8,1,1,240,320,32,32,0.292127
3,8,8,1,1,240,320,64,1,0.285153
3,8,8,1,1,240,320,64,2,0.284396
3,8,8,1,1,240,320,64,4,0.2846
3,8,8,1,1,240,320,64,8,0.28671
3,8,8,1,1,240,320,64,16,0.293335
3,8,8,1,1,240,320,128,1,0.285041
3,8,8,1,1,240,320,128,2,0.285071
3,8,8,1,1,240,320,128,4,0.284324
3,8,8,1,1,240,320,128,8,0.286925
3,8,24,2,1,240,320,1,1,0.956785
3,8,24,2,1,240,320,1,2,0.46536
3,8,24,2,1,240,320,1,4,0.234189
3,8,24,2,1,240,320,1,8,0.118149
3,8,24,2,1,240,320,1,16,0.0665498
3,8,24,2,1,240,320,1,32,0.0406426
3,8,24,2,1,240,320,1,64,0.025129
3,8,24,2,1,240,320,1,128,0.0195578
3,8,24,2,1,240,320,2,1,0.464968
3,8,24,2,1,240,320,2,2,0.233893
3,8,24,2,1,240,320,2,4,0.117907
3,8,24,2,1,240,320,2,8,0.059863
3,8,24,2,1,240,320,2,16,0.0339968
3,8,24,2,1,240,320,2,32,0.0191078
3,8,24,2,1,240,320,2,64,0.0186813
3,8,24,2,1,240,320,2,128,0.0172237
3,8,24,2,1,240,320,4,1,0.23382
3,8,24,2,1,240,320,4,2,0.117744
3,8,24,2,1,240,320,4,4,0.0597133
3,8,24,2,1,240,320,4,8,0.0306934
3,8,24,2,1,240,320,4,16,0.0161894
3,8,24,2,1,240,320,4,32,0.015767
3,8,24,2,1,240,320,4,64,0.0168448
3,8,24,2,1,240,320,4,128,0.0188211
3,8,24,2,1,240,320,8,1,0.114678
3,8,24,2,1,240,320,8,2,0.0577946
3,8,24,2,1,240,320,8,4,0.0293376
3,8,24,2,1,240,320,8,8,0.0165274
3,8,24,2,1,240,320,8,16,0.0163635
3,8,24,2,1,240,320,8,32,0.0169472
3,8,24,2,1,240,320,8,64,0.0198246
3,8,24,2,1,240,320,8,128,0.0318198
3,8,24,2,1,240,320,16,1,0.0727245
3,8,24,2,1,240,320,16,2,0.0375194
